contract_address,name,base_asset_id,base_asset_name,base_asset_symbol,base_asset_contract_address,quote_asset_id,quote_asset_name,quote_asset_symbol,quote_asset_contract_address,dex_id,dex_slug,network_id,network_slug,last_updated,created_at,price,volume_24h,percent_change_price_1h,percent_change_price_24h,liquidity,fully_diluted_value
B4Vwozy1FGtp8SELXSXydWSzavPUGnJ77DURV2k4MhUV,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,10557,raydium-clmm,16,Solana,2024-12-21T08:17:55.483Z,2024-12-17T13:00:30.000Z,0.030949153628956675,96242184.08455116,-0.0362509597,0.1425976068,19464112.594907966,2751034308.227372
HQCtRaHWyfqGcS7gFmvAn2vVgG7ZT2PQjBdsPd4RGNZy,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-21T08:11:13.597Z,2024-12-17T14:22:52.000Z,0.031019559627193268,32825956.009057466,-0.0109098701,0.1479737508,3740379.419962736,2757292615.6103773
2ZxdV1nxxUNrNey4UtXdsRGh2yYKJu1K8tUYT6qg97o3,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-21T08:12:44.504Z,2024-12-17T13:20:11.000Z,0.030760953390365418,17171865.319200233,-0.0390312413,0.1268956134,1856505.7060728194,2734305407.676867
A3N64gxHQL8b2cQ75JM3nVqoRFYWmntaEUFfDmhYe1Nv,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-21T08:18:10.965Z,2024-12-17T13:00:31.000Z,0.031023603345010673,10528259.835887639,-0.0259514841,0.1467741276,1746888.5025533387,2757652056.9890285
FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,1426,orca,16,Solana,2024-12-21T08:17:11.167Z,2024-12-17T13:00:51.000Z,0.03103918032767245,7790079.499592444,-0.0258568442,0.1585216057,7858347.214540019,2759036676.8799295
BR3EY6tFKwKci18hMaE4qAD4LWBhBTiRuHb6JqenxczT,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-21T08:13:19.556Z,2024-12-17T13:29:31.000Z,0.030971105336084662,3980696.4348333017,-0.029357838,0.137660086,92023.79830936855,2752985569.9696884
GsTT2Jqv5EXr3vAmLcDyeY4DYDKDS1SRyzjWdZVm3pYb,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-21T07:52:12.706Z,2024-12-17T12:46:40.000Z,0.03125193108835533,3689723.6947819437,-0.0211386039,0.1488123206,3367629.248916993,2777947844.815471
4r2AGQRjuLpGL9o1vuW1mkcVHvE4DTi7YZJhqGHj2qeR,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,10557,raydium-clmm,16,Solana,2024-12-21T07:50:58.000Z,2024-12-17T12:46:21.000Z,0.03098582770227852,2789514.894025317,-0.0404260786,0.1287867935,1399040.420387089,2754294223.995681
A232efjrg4Bf95skJhy9EhqNMpM1Lz3G6iBNr6NoQfb7,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-21T08:16:57.508Z,2024-12-17T12:57:22.000Z,0.030988534621877083,2042669.8510772455,-0.0272117983,0.1482417427,132851.2105121914,2754534838.9337993
8GsWExrRFeBj1Nh8gCuVQZo3f6yzd1YFofGbwebh7uFh,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,1426,orca,16,Solana,2024-12-21T08:17:57.683Z,2024-12-17T13:54:21.000Z,0.030918954222765884,1664530.484457655,-0.0304238993,0.1411256779,272773.6732343702,2748349918.0978394
